五笔编码	重码	常用	更多
`adgt`	2	葳	葴
`admy`	2	项	項
`adwn`	2	甚	惎
`adww`	2	欺	莢
`afcu`	2	芸	芰
`afmi`	2	贰	貳
`afqy`	2	鞫	韂
`agaj`	2	荆	荊
`ajdc`	2	蓦	驀
`akgq`	2	觐	覲
`akkm`	2	颧	顴
`akkn`	2	萼	甌
`alll`	2	荔	藟
`alpu`	2	莲	蓮
`alvv`	2	匦	匭
`amu`	2	贡	貢
`anmu`	2	贳	貰
`apff`	2	茔	蒄
`apgg`	2	萱	鹲
`apju`	2	萤	蓂
`aplj`	2	荤	葷
`aqou`	2	菊	炁
`aqv`	2	匹	旡
`atdi`	2	医	繄
`auwy`	2	蔺	藺
`awwq`	2	觋	覡
`awyc`	2	苓	蒦
`awyn`	2	芩	菍
`axfu`	2	荮	葤
`axgn`	2	莼	蒓
`axjl`	2	蕴	藴
`axqy`	2	药	葯
`ayjn`	2	蔼	藹
`ayke`	2	蓑	蘘
`ayna`	2	匾	萹
`aysd`	2	蘑	蘼
`ayve`	2	莨	蓢
`bhic`	2	骘	騭
`bkmy`	2	陨	隕
`blh`	2	阵	陣
`bnn`	2	孔	㔾
`bwyc`	2	聆	陰
`cadw`	2	骐	騏
`cbci`	2	骤	驟
`cbdm`	2	预	預
`cbn`	2	驰	馳
`cbtc`	2	骛	騖
`cccc`	2	又	叕
`cccf`	2	垒	骉
`cccm`	2	颡	顙
`cckg`	2	骀	駘
`ccwt`	2	骏	駿
`ccyj`	2	骚	騷
`cdsk`	2	骑	騎
`cdy`	2	驮	馱
`cjsy`	2	骒	騍
`ckh`	2	驯	馴
`ckqy`	2	驶	駛
`clg`	2	驷	駟
`clxi`	2	骡	騾
`cmgn`	2	骋	騁
`cnbb`	2	骣	驏
`cpxn`	2	驼	駝
`cqkg`	2	驹	駒
`cqqy`	2	驳	駁
`cqyl`	2	骝	騮
`csfi`	2	骠	驃
`ctkg`	2	骆	駱
`ctln`	2	骢	驄
`cuah`	2	骈	駢
`cuxw`	2	骥	驥
`cvpc`	2	骎	駸
`cwfy`	2	驸	駙
`cygg`	2	驻	駐
`cyke`	2	骧	驤
`cyna`	2	骗	騙
`cynn`	2	骟	騸
`cynw`	2	骇	駭
`ddmy`	2	硕	碩
`dgmy`	2	碛	磧
`dhvd`	2	契	䂮
`djdl`	2	辈	輩
`dlh`	2	砗	硨
`dlk`	2	厍	厙
`dmjk`	2	厕	厠
`dmu`	2	页	頁
`eafm`	2	腻	膩
`edcy`	2	肱	胈
`edmv`	2	媭	嬃
`edmy`	2	须	須
`eeee`	2	月	朤
`efcy`	2	肢	胠
`egey`	2	脯	脿
`eiqn`	2	胱	朓
`etfm`	2	臜	臢
`eudc`	2	腾	騰
`eudi`	2	滕	縢
`eudy`	2	朕	謄
`ewgj`	2	腧	膾
`eyi`	2	及	豖
`fakg`	2	域	墐
`falk`	2	载	載
`famu`	2	贲	賁
`fcbh`	2	却	𨙸
`fdmy`	2	顸	頇
`fff`	2	圭	亖
`ffnb`	2	雩	鄠
`fghg`	2	士	埡
`fhtm`	2	趱	趲
`fhwm`	2	颠	顛
`fjfh`	2	韩	垾
`fjgq`	2	觏	覯
`fjwf`	2	斡	幹
`fkdm`	2	颉	頡
`fkmy`	2	埙	塤
`fkun`	2	甏	憙
`fmy`	2	坝	垻
`fnhc`	2	霞	韨
`fnu`	2	志	忈
`fpmn`	2	悫	慤
`fqdm`	2	顽	頑
`frcy`	2	坂	坬
`fte`	2	才	耂
`fufj`	2	幸	蟄
`fwwm`	2	赍	賫
`fwyc`	2	零	坽
`fyjn`	2	霭	靄
`gbnm`	2	顿	頓
`gdeg`	2	瑚	珛
`gdmy`	2	顼	頊
`gggg`	2	王	𤣩
`gimy`	2	琐	瑣
`giqn`	2	珧	珖
`gkim`	2	赖	賴
`glpy`	2	琏	璉
`gmii`	2	棘	棗
`gmmv`	2	璎	瓔
`gmu`	2	责	責
`gmyb`	2	郦	酈
`gmyp`	2	逦	邐
`gplh`	2	珲	琿
`gqjg`	2	珣	䴕
`gqjo`	2	烈	鴷
`gqkm`	2	殒	殞
`gqtb`	2	聱	珋
`gqtc`	2	骜	驁
`gqto`	2	熬	鰲
`gqtr`	2	殇	殤
`gqyy`	2	玖	玓
`griy`	2	珠	瑔
`gtfm`	2	瓒	瓚
`gycq`	2	琉	珫
`gyi`	2	玉	玊
`haoq`	2	觑	覷
`hcdm`	2	颇	頗
`hidf`	2	颦	顰
`hidm`	2	频	頻
`hmu`	2	贞	貞
`hwbh`	2	龊	𬺓
`hwbj`	2	齿	𬹼
`hwbn`	2	龅	龁
`iaky`	2	灌	灘
`ibn`	2	池	氾
`icbm`	2	滪	澦
`idhc`	2	滟	灧
`ifcy`	2	法	沄
`ifqn`	2	沅	𣲘
`igkh`	2	滞	滆
`igkm`	2	濑	瀨
`igmy`	2	渍	漬
`ihan`	2	滤	濾
`ihim`	2	濒	瀕
`iiqn`	2	洮	洸
`ijfg`	2	涅	浬
`ijgh`	2	湜	浉
`ijym`	2	灏	灝
`ikhm`	2	溃	潰
`ilg`	2	泗	沺
`ilkg`	2	洄	泇
`ilpy`	2	涟	漣
`ilrh`	2	渐	漸
`ilwy`	2	泅	潀
`imjh`	2	测	測
`imkf`	2	尚	尙
`imkg`	2	沿	泂
`inwy`	2	濯	決
`iooy`	2	淡	瀅
`ipkm`	2	赏	賞
`iplh`	2	浑	渾
`ipwk`	2	溶	滘
`iqcy`	2	沟	沒
`iqiy`	2	泺	沵
`iqmd`	2	涣	渙
`iqpl`	2	辉	輝
`iugg`	2	润	潤
`iujg`	2	涧	澗
`ivyh`	2	涩	澀
`iwgj`	2	渝	澮
`iwgt`	2	潋	瀲
`iwu`	2	兴	氼
`ixwy`	2	潍	濰
`iytf`	2	浒	滸
`iyxy`	2	泫	澭
`jefc`	2	暖	㬊
`jfh`	2	旰	虷
`jgcf`	2	蛭	晊
`jghh`	2	韪	韙
`jghm`	2	题	題
`jjqr`	2	蜴	晹
`jlf`	2	蛊	昷
`jmhm`	2	颙	顒
`jmqn`	2	蚬	𬀪
`jnhc`	2	暇	蝦
`jplj`	2	晕	暈
`jsdm`	2	颗	顆
`jugt`	2	曦	蟻
`jujf`	2	蝉	曈
`jujh`	2	蟑	暲
`jyim`	2	颢	顥
`jyn`	2	昉	蚄
`kcy`	2	叹	嗎
`kdmy`	2	顺	順
`kfam`	2	喷	噴
`kftj`	2	嗜	啫
`kgmy`	2	啧	嘖
`khag`	2	嘘	噓
`khdg`	2	跖	跍
`khgm`	2	贵	貴
`khrm`	2	踬	躓
`khtm`	2	躜	躦
`khub`	2	踯	躑
`kimy`	2	唢	嗩
`kjnb`	2	黾	𫑡
`kkfm`	2	颚	顎
`kkkf`	2	品	嘽
`kkks`	2	噪	喿
`klh`	2	呷	唓
`kmbh`	2	郧	鄖
`kmln`	2	勋	勛
`kmmv`	2	嘤	嚶
`kmu`	2	员	員
`kmy`	2	呗	唄
`kqmd`	2	唤	喚
`kthh`	2	川	嘥
`kwgj`	2	喻	噲
`kwyn`	2	吟	唸
`kxqy`	2	哟	喲
`laag`	2	轼	軾
`lafc`	2	羁	羈
`lbnn`	2	辄	輒
`lccc`	2	辍	輟
`ldbn`	2	轭	軛
`ldg`	2	轱	軲
`ldwd`	2	辏	輳
`lfh`	2	轩	軒
`lfoe`	2	黪	黲
`lfok`	2	黠	點
`lfom`	2	黜	黷
`lfuf`	2	圉	睪
`lgcf`	2	轾	輊
`lgkl`	2	辐	輻
`ljxx`	2	辊	輥
`lkbg`	2	辑	輯
`lkmi`	2	圆	圓
`lkmu`	2	贺	賀
`llll`	2	田	〇
`lmg`	2	轴	軸
`lmun`	2	辋	輞
`lnae`	2	辗	輾
`lnn`	2	轧	軋
`loqh`	2	辚	轔
`lpdk`	2	辖	轄
`lpk`	2	连	連
`lqwy`	2	软	軟
`lrcy`	2	畈	畖
`lrff`	2	堑	塹
`lrh`	2	斩	斬
`lrjf`	2	暂	暫
`lrqf`	2	錾	鏨
`lrsu`	2	椠	槧
`lrwy`	2	轶	軼
`lskg`	2	轲	軻
`luqy`	2	较	較
`lvlg`	2	辎	輜
`lvn`	2	轨	軌
`lvyy`	2	轫	軔
`lwgj`	2	输	輸
`lyct`	2	辙	轍
`lyjj`	2	罚	罰
`lynx`	2	辘	轆
`mckg`	2	贻	貽
`mdeg`	2	贿	賄
`mdfe`	2	赈	賑
`mdgt`	2	崴	嵅
`mdmm`	2	颛	顓
`mfd`	2	冉	冄
`mfhm`	2	巅	巔
`mfiy`	2	赇	賕
`mftj`	2	赌	賭
`mftt`	2	财	財
`mgef`	2	赙	賻
`mhgm`	2	帻	幘
`mhhm`	2	帧	幀
`mhkg`	2	贴	貼
`mhny`	2	贝	貝
`mhuj`	2	幛	幟
`mjh`	2	则	則
`mjqr`	2	赐	賜
`mkqn`	2	贶	貺
`mlrj`	2	崭	嶄
`mmrm`	2	罂	罌
`mmvf`	2	婴	嬰
`mooy`	2	赕	賧
`mrcy`	2	贩	販
`mtdh`	2	峰	峯
`mtkg`	2	赂	賂
`mtpy`	2	贬	貶
`mty`	2	败	敗
`mukg`	2	赔	賠
`muvo`	2	赚	賺
`mwfi`	2	赊	賒
`mwyc`	2	岭	岺
`mynw`	2	赅	賅
`nbbb`	2	孱	懾
`ndjd`	2	悱	懨
`nfam`	2	愤	憤
`nfcy`	2	怯	忮
`nftj`	2	屠	愭
`ngkm`	2	懒	懶
`nhd`	2	眉	𤴔
`nhde`	2	爿	裝
`nhdk`	2	牁	牆
`nii`	2	尿	氹
`nkhh`	2	忡	翀
`nkhm`	2	愦	憒
`nlrh`	2	惭	慚
`nmjh`	2	恻	惻
`nplh`	2	恽	惲
`nplj`	2	翚	翬
`nulj`	2	憎	層
`nuyy`	2	悯	憫
`nxfm`	2	惯	慣
`nyhy`	2	忭	忄
`odmy`	2	烦	煩
`ogub`	2	凿	鄴
`oguc`	2	黻	叢
`oooo`	2	火	燚
`oqab`	2	粼	鄰
`oqmd`	2	焕	煥
`otfp`	2	糙	烶
`ouny`	2	焖	燜
`owyk`	2	焓	熗
`oyve`	2	粮	烺
`pahh`	2	宦	宧
`pfjc`	2	骞	騫
`pfjm`	2	赛	賽
`plbh`	2	郓	鄆
`plhc`	2	皲	皸
`plj`	2	军	軍
`pmb`	2	冗	宂
`ptkm`	2	额	額
`pufh`	2	褂	袆
`pulp`	2	裢	褳
`putd`	2	袄	襖
`puuj`	2	裥	襇
`puyl`	2	裤	褲
`pwfq`	2	窥	窺
`pwry`	2	窳	窊
`pydg`	2	祜	祏
`pyhm`	2	祯	禎
`pyjh`	2	神	禔
`qafg`	2	钳	鉗
`qafj`	2	䦃	鐯
`qajg`	2	错	錯
`qalg`	2	锚	錨
`qant`	2	钺	鉞
`qawc`	2	镬	鑊
`qbg`	2	铒	鉺
`qblg`	2	锰	錳
`qbsk`	2	锕	錒
`qcn`	2	钯	鈀
`qcyy`	2	钗	釵
`qdcy`	2	钹	鈸
`qdfa`	2	锛	錛
`qdg`	2	钴	鈷
`qdhd`	2	锲	鍥
`qdmh`	2	希	鈽
`qdsk`	2	锜	錡
`qdui`	2	镣	鐐
`qduw`	2	镢	鐝
`qdyy`	2	钛	鈦
`qegl`	2	锄	鋤
`qfg`	2	钍	釷
`qfh`	2	针	針
`qfhw`	2	镇	鎮
`qflg`	2	镭	鐳
`qftj`	2	锗	鍺
`qftn`	2	铐	銬
`qftx`	2	铑	銠
`qgbn`	2	钝	鈍
`qgdn`	2	鱿	鳡
`qghg`	2	钲	鉦
`qgiy`	2	钚	鈈
`qgjh`	2	鳀	𫚕
`qgkg`	2	铻	鋙
`qgkh`	2	镉	鎘
`qgli`	2	鳏	鍊
`qgmk`	2	鲷	鲖
`qgrg`	2	鳇	鲌
`qgty`	2	稣	鿏
`qguf`	2	鳟	鳉
`qgyi`	2	鲸	𩾌
`qgyy`	2	钰	鈺
`qhcy`	2	铍	鈹
`qhg`	2	钼	鉬
`qieg`	2	销	銷
`qimy`	2	锁	鎖
`qipf`	2	镗	鏜
`qiqn`	2	铫	銚
`qitt`	2	钞	鈔
`qjfg`	2	锂	鋰
`qjgf`	2	锝	鍀
`qjgg`	2	钽	鉭
`qjlc`	2	镘	鏝
`qjqr`	2	锡	錫
`qjsy`	2	锞	錁
`qjxx`	2	锟	錕
`qkgg`	2	锃	鋥
`qkh`	2	钏	釧
`qkkg`	2	铝	鋁
`qkkn`	2	锷	鍔
`qldg`	2	锢	錮
`qldy`	2	铟	銦
`qlg`	2	钿	鈿
`qlh`	2	钾	鉀
`qlny`	2	锶	鍶
`qlpy`	2	链	鏈
`qlqj`	2	镯	鐲
`qmee`	2	镚	鏰
`qmg`	2	铀	鈾
`qmgk`	2	铜	銅
`qmjh`	2	铡	鍘
`qmkg`	2	铅	鉛
`qmu`	2	负	負
`qmwy`	2	钠	鈉
`qmy`	2	钡	鋇
`qmyy`	2	钒	釩
`qndg`	2	锯	鋸
`qnfg`	2	钮	鈕
`qnwe`	2	镠	鏐
`qnxn`	2	铌	鈮
`qou`	2	炙	魚
`qpey`	2	镓	鎵
`qpgh`	2	锭	錠
`qpvg`	2	铵	銨
`qpwi`	2	镲	鑔
`qpxn`	2	铊	鉈
`qqcn`	2	铯	銫
`qqcy`	2	钩	鈎
`qqiy`	2	铄	鿭
`qqky`	2	镵	鑱
`qqtb`	2	铆	鉚
`qqug`	2	钧	鈞
`qqvh`	2	铮	錚
`qqwy`	2	钦	欽
`qqyl`	2	镏	鎦
`qqyy`	2	钓	釣
`qrcy`	2	钣	鈑
`qrg`	2	铂	鉑
`qriy`	2	铢	銖
`qrmh`	2	锦	錦
`qrqw`	2	锨	鍁
`qsfi`	2	镖	鏢
`qsgg`	2	钵	鉢
`qsh`	2	钉	釘
`qtay`	2	獾	𬬮
`qtbi`	2	狲	猻
`qtbn`	2	犯	犼
`qtdh`	2	锋	鋒
`qtdw`	2	獗	狹
`qten`	2	锈	銹
`qtfk`	2	锆	鋯
`qtfp`	2	铤	鋌
`qtfq`	2	铣	銑
`qtfv`	2	锸	鍤
`qtgm`	2	獭	獺
`qths`	2	镍	鎳
`qtkg`	2	铬	鉻
`qtmy`	2	狈	狽
`qtn`	2	儿	勹
`qtps`	2	狞	獰
`qtrt`	2	锇	鋨
`qtuq`	2	狡	獍
`qtvn`	2	犰	獵
`qty`	2	乂	㐅
`qtyd`	2	狱	獄
`qudb`	2	锩	錈
`qugd`	2	镁	鎂
`qugi`	2	镧	鑭
`quh`	2	锌	鋅
`qujg`	2	锏	鐧
`qujq`	2	镜	鏡
`qukq`	2	锐	鋭
`qumd`	2	镝	鏑
`qupy`	2	镑	鎊
`quqy`	2	铰	鉸
`quwl`	2	镒	鎰
`quxt`	2	锑	銻
`qvey`	2	银	銀
`qvfp`	2	键	鍵
`qvg`	2	钕	釹
`qvlg`	2	锱	錙
`qvln`	2	镴	鑞
`qwdc`	2	锻	鍛
`qwgg`	2	铨	銓
`qwgk`	2	铪	鉿
`qwgu`	2	镫	鐙
`qwwf`	2	锉	銼
`qwyc`	2	铃	鈴
`qwyg`	2	锥	錐
`qwyn`	2	钤	鈐
`qxkj`	2	镪	鏹
`qxxr`	2	锴	鍇
`qyac`	2	镀	鍍
`qybt`	2	镦	鐓
`qyke`	2	镶	鑲
`qymh`	2	铈	鈰
`qymk`	2	镐	鎬
`qyn`	2	钫	鈁
`qyno`	2	镳	鑣
`qytd`	2	镞	鏃
`qyuo`	2	镰	鐮
`qyve`	2	锒	鋃
`qyvh`	2	镛	鏞
`qyvm`	2	贸	貿
`qyxy`	2	铉	鉉
`rdmy`	2	颀	頎
`rfkm`	2	撷	擷
`rfwl`	2	撵	攆
`rhal`	2	掳	擄
`rhan`	2	摅	攄
`riqn`	2	挑	㿠
`rkmy`	2	损	損
`rmmv`	2	撄	攖
`rngg`	2	氩	氬
`rnn`	2	扎	癿
`rplh`	2	挥	揮
`rpwn`	2	挖	攛
`rqmd`	2	换	換
`rqqw`	2	揿	撳
`rqrm`	2	掏	搖
`rqwy`	2	欣	扻
`rtfm`	2	攒	攢
`rtgf`	2	捶	揰
`rudb`	2	掷	捲
`rug`	2	拉	捫
`rutk`	2	搁	擱
`rwyn`	2	捻	扲
`rxfm`	2	掼	摜
`sakg`	2	槿	棫
`sbde`	2	椭	橢
`scy`	2	权	榪
`sdmy`	2	顶	頂
`seyy`	2	极	椓
`sfcy`	2	枝	㭕
`sfij`	2	剽	飄
`sftj`	2	楮	榰
`sgef`	2	酹	榑
`sgkg`	2	梧	酲
`sgne`	2	醪	醑
`sgye`	2	酿	釀
`shmy`	2	桢	楨
`siqn`	2	桃	桄
`sivg`	2	档	桜
`slpy`	2	梿	槤
`smmv`	2	樱	櫻
`smqy`	2	枫	㭎
`smu`	2	贾	賈
`sqeh`	2	桷	檞
`sqqd`	2	樊	礬
`ssfi`	2	禁	標
`sukk`	2	榈	櫚
`swgj`	2	榆	檜
`swyc`	2	檎	柃
`sxxe`	2	橼	櫞
`syfj`	2	槠	櫧
`tadw`	2	箕	篋
`tcu`	2	么	篤
`terg`	2	舶	艎
`tffh`	2	街	衎
`tfhg`	2	鸻	稙
`tfhh`	2	行	衠
`tfnn`	2	毳	毸
`tfqm`	2	赞	贊
`tgkm`	2	籁	籟
`tgll`	2	甥	勳
`tgmu`	2	箦	簀
`tkhm`	2	篑	簣
`tmdk`	2	躺	軀
`tmdm`	2	颓	頽
`tmdq`	2	躯	躭
`tolf`	2	番	釋
`tqfh`	2	衔	銜
`tryn`	2	牤	牥
`tssu`	2	篥	箖
`ttgf`	2	笙	種
`ttgh`	2	竹	衝
`tthf`	2	笮	簰
`tthp`	2	筵	籩
`ttnt`	2	秭	笫
`tvfh`	2	律	筆
`twty`	2	徐	稌
`tyke`	2	穰	簑
`tyve`	2	稂	筤
`uakg`	2	阈	閾
`ubd`	2	闻	聞
`udci`	2	闳	閎
`udqg`	2	鲞	鲝
`ufcl`	2	阖	闔
`uffd`	2	闺	閨
`ufhm`	2	癫	癲
`ufhw`	2	阗	闐
`ufte`	2	闭	閉
`uftj`	2	阇	闍
`ugkm`	2	癞	癩
`ugli`	2	阑	闌
`ugtt`	2	羲	義
`uhdi`	2	阒	闃
`uitd`	2	阔	闊
`ujd`	2	间	間
`uji`	2	闽	閩
`ujjd`	2	阊	閶
`ujtm`	2	赣	贛
`ujtn`	2	戆	戇
`ukd`	2	问	問
`ukkd`	2	闾	閭
`uljn`	2	甑	䎖
`ulk`	2	闸	閘
`ulsi`	2	阃	閫
`ummv`	2	瘿	癭
`unbt`	2	阚	闞
`uni`	2	闷	悶
`unku`	2	癖	闢
`uqaj`	2	阍	閽
`uqmd`	2	痪	瘓
`uqvd`	2	阎	閻
`uqvh`	2	净	竫
`uqwm`	2	资	資
`usi`	2	闲	閑
`utem`	2	颜	顔
`utkd`	2	阁	閣
`uubw`	2	阙	闕
`uujf`	2	阐	瘅
`uukq`	2	阅	閲
`uwae`	2	阀	閥
`uwi`	2	闪	閃
`uxxg`	2	鹚	關
`uyd`	2	訚	誾
`uygh`	2	辛	丬
`uyi`	2	闵	閔
`uynw`	2	阂	閡
`uyuh`	2	辩	辯
`uyve`	2	阆	閬
`vcbf`	2	孥	堲
`vcy`	2	奴	媽
`vfbh`	2	那	𬩽
`vfcy`	2	妓	妘
`vfjf`	2	媾	書
`vfqn`	2	妩	妧
`vnuk`	2	鼯	鼩
`vou`	2	灵	災
`vusy`	2	娴	嫻
`waff`	2	垡	垈
`wamu`	2	贷	貸
`wbg`	2	仔	佴
`wcdm`	2	颂	頌
`wfam`	2	偾	僨
`wflw`	2	舆	輿
`wgeq`	2	觎	覦
`wgg`	2	伍	仼
`wgka`	2	龠	弇
`wgkw`	2	歙	僉
`whmy`	2	侦	偵
`whte`	2	修	脩
`whtn`	2	悠	翛
`wlge`	2	偎	儇
`wmjh`	2	侧	側
`wpey`	2	侬	傢
`wtln`	2	伤	傯
`wtuf`	2	斜	㙦
`wug`	2	位	們
`wujf`	2	僮	𫢸
`wvdm`	2	颁	頒
`wvmu`	2	贫	貧
`wwgj`	2	偷	儈
`wwkw`	2	欲	谼
`wxdm`	2	倾	傾
`wxmu`	2	货	貨
`wycm`	2	领	領
`wycu`	2	令	隻
`wyg`	2	信	隹
`wyyy`	2	雠	讎
`xadt`	2	绒	絨
`xafg`	2	绀	紺
`xafh`	2	缂	緙
`xag`	2	红	紅
`xann`	2	绁	紲
`xbmh`	2	绌	絀
`xcbh`	2	纾	紓
`xccc`	2	缀	綴
`xdff`	2	缛	縟
`xdfn`	2	绔	絝
`xdgt`	2	缄	緘
`xdjd`	2	绯	緋
`xdmd`	2	缅	緬
`xdmy`	2	顷	頃
`xdsk`	2	绮	綺
`xdtb`	2	绑	綁
`xdui`	2	缭	繚
`xefc`	2	缓	緩
`xegg`	2	组	組
`xepc`	2	绶	綬
`xevg`	2	绥	綏
`xeyy`	2	级	級
`xfcy`	2	纭	紜
`xfhw`	2	缜	縝
`xfkg`	2	结	結
`xfkm`	2	缬	纈
`xfmu`	2	贯	貫
`xftj`	2	绪	緒
`xfwt`	2	绫	綾
`xfy`	2	纣	紂
`xgbn`	2	纯	純
`xgef`	2	缚	縛
`xgfh`	2	纡	紆
`xgjq`	2	绠	綆
`xglg`	2	缰	繮
`xgmy`	2	绩	績
`xgoj`	2	缙	縉
`xhit`	2	缈	緲
`xhjh`	2	绰	綽
`xidm`	2	颍	潁
`xieg`	2	绡	綃
`ximk`	2	绱	緔
`xitt`	2	纱	紗
`xjgh`	2	缇	緹
`xjhh`	2	绅	紳
`xjlc`	2	缦	縵
`xjmu`	2	费	費
`xjxx`	2	绲	緄
`xkbg`	2	缉	緝
`xkeg`	2	绢	絹
`xkhp`	2	缱	繾
`xkks`	2	缲	繰
`xlg`	2	细	細
`xlge`	2	缳	繯
`xlny`	2	缌	緦
`xlxi`	2	缧	縲
`xlxk`	2	辔	轡
`xmfk`	2	绸	綢
`xmmv`	2	缨	纓
`xmwy`	2	纳	納
`xnaj`	2	缗	緡
`xnfg`	2	纽	紐
`xnny`	2	幺	糹
`xnwe`	2	缪	繆
`xodm`	2	颎	熲
`xpfi`	2	综	綜
`xpgh`	2	绽	綻
`xpnn`	2	绾	綰
`xpwj`	2	缩	縮
`xqan`	2	纸	紙
`xqcn`	2	绝	絶
`xqjg`	2	绚	絢
`xqyy`	2	约	約
`xrmh`	2	绵	綿
`xryt`	2	缴	繳
`xsfi`	2	缥	縹
`xshg`	2	缃	緗
`xtah`	2	绛	絳
`xtdm`	2	颖	穎
`xtdp`	2	缝	縫
`xten`	2	绣	綉
`xtfg`	2	纴	紝
`xtfm`	2	缵	纘
`xthk`	2	绺	綹
`xtkg`	2	络	絡
`xtnn`	2	纥	紇
`xtuy`	2	终	終
`xudb`	2	绻	綣
`xudk`	2	缮	繕
`xufh`	2	绊	絆
`xulj`	2	缯	繒
`xuph`	2	缔	締
`xuqy`	2	绞	絞
`xuvo`	2	缣	縑
`xuwl`	2	缢	縊
`xuxt`	2	绨	綈
`xviy`	2	绿	緑
`xvjs`	2	缫	繅
`xvlg`	2	缁	緇
`xwdc`	2	缎	緞
`xwgk`	2	给	給
`xwnd`	2	缑	緱
`xwnp`	2	缒	縋
`xwvn`	2	纷	紛
`xwyg`	2	维	維
`xxey`	2	缘	緣
`xybc`	2	缡	縭
`xycq`	2	统	統
`xyjf`	2	缠	纏
`xymk`	2	缟	縞
`xyn`	2	纺	紡
`xyna`	2	编	編
`xyxy`	2	弦	絃
`xyy`	2	纹	紋
`yaag`	2	试	試
`yaah`	2	诫	誡
`yadk`	2	诺	諾
`yadn`	2	谌	諶
`yafs`	2	谋	謀
`yag`	2	讧	訌
`yagg`	2	诓	誆
`yaht`	2	讶	訝
`yajd`	2	谟	謨
`yang`	2	讵	詎
`yans`	2	谍	諜
`yaqj`	2	谮	譖
`yaww`	2	诬	誣
`yayq`	2	谎	謊
`ybcy`	2	诹	諏
`ybh`	2	邝	邡
`yceh`	2	诵	誦
`yckg`	2	诒	詒
`ydg`	2	诂	詁
`ydiy`	2	诔	誄
`ydjd`	2	诽	誹
`ydnt`	2	诚	誠
`ydoy`	2	诙	詼
`yefc`	2	谖	諼
`yegg`	2	诅	詛
`yerm`	2	谣	謡
`yeyy`	2	诼	諑
`yffg`	2	诖	詿
`yffy`	2	诗	詩
`yfkg`	2	诘	詰
`yftj`	2	诸	諸
`yfy`	2	讨	討
`ygam`	2	赟	贇
`ygeg`	2	请	請
`yghg`	2	证	証
`ygkg`	2	语	語
`ygli`	2	谏	諫
`yguh`	2	评	評
`yhag`	2	谑	謔
`yhy`	2	讣	訃
`yieg`	2	诮	誚
`yjlc`	2	谩	謾
`yjqn`	2	谒	謁
`yjsy`	2	课	課
`ykgd`	2	误	誤
`ykh`	2	训	訓
`ykhp`	2	谴	譴
`ykkn`	2	谔	諤
`yleg`	2	谓	謂
`ylk`	2	库	庫
`ylkg`	2	亶	鹯
`ylkm`	2	颤	顫
`ylwt`	2	谡	謖
`ymcy`	2	设	設
`ymdm`	2	颃	頏
`ymfk`	2	调	調
`ymh`	2	讪	訕
`ymwy`	2	讷	訥
`ynfh`	2	讯	訊
`yng`	2	诩	詡
`yngk`	2	词	詞
`ynjf`	2	麝	塵
`ynjo`	2	麋	麃
`ynjq`	2	鏖	麑
`ynjt`	2	麇	慶
`ynn`	2	记	記
`yntm`	2	颏	頦
`yooy`	2	谈	談
`yopy`	2	谜	謎
`ypeg`	2	谊	誼
`yplh`	2	诨	諢
`yqdb`	2	诡	詭
`yqdy`	2	谵	譫
`yqjg`	2	询	詢
`yqtg`	2	诳	誑
`yqvh`	2	诤	諍
`yrgk`	2	诟	詬
`yriy`	2	诛	誅
`yryy`	2	诉	訴
`ysh`	2	订	訂
`ysjh`	2	谭	譚
`yskg`	2	诃	訶
`ytdg`	2	话	話
`yten`	2	诱	誘
`ytfh`	2	许	許
`ytfk`	2	诰	誥
`ytfq`	2	诜	詵
`ythf`	2	诈	詐
`ythp`	2	诞	誕
`ytmf`	2	谢	謝
`ytnn`	2	讫	訖
`yttg`	2	旌	𬸦
`ytvg`	2	诿	諉
`ytxu`	2	诲	誨
`yudh`	2	详	詳
`yujg`	2	谙	諳
`yukq`	2	说	説
`yumd`	2	谪	謫
`yuoj`	2	谱	譜
`yuph`	2	谛	諦
`yupy`	2	谤	謗
`yute`	2	谚	諺
`yuwl`	2	谥	謚
`yvkg`	2	诏	詔
`yvwm`	2	赓	賡
`yvwy`	2	谀	諛
`ywcy`	2	讼	訟
`ywet`	2	诊	診
`ywgg`	2	诠	詮
`ywgj`	2	谕	諭
`ywyg`	2	谁	誰
`ywyn`	2	谂	諗
`ywyo`	2	谯	譙
`yxjg`	2	诣	詣
`yxxr`	2	谐	諧
`yybg`	2	谆	諄
`yyiy`	2	谅	諒
`yyna`	2	谝	諞
`yynw`	2	该	該
`yywf`	2	谇	誶
